,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
598,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,1.9314184188842773,272,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[3.81541479 2.41710601 3.60619516 1.92814447],0.24580000000000002
599,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,23.293804168701172,3230,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.04137905 1.5468236  3.81711193 1.82328165 3.313384   2.16538755
 4.32871549 1.70391897]",0.5128
600,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,151.16334056854248,5000,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.60142663 1.56905765 3.2505559  1.72041366 2.7591803  1.72324378
 3.50269408 1.43976903 3.43434343 1.85775899 3.07406051 1.98538284
 3.0749101  1.78323918 2.93464806 1.3494151  4.30251989 2.49706279
 2.69341004 2.64197139]",0.9531000000000001
601,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,82.64480924606323,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.01387269 2.63143875 3.5405757  1.84592559 3.22281958 1.35859276
 3.77851186 2.42579397 3.54987614 1.91448743 3.12163716 1.60222847
 3.11264073 1.50334183 3.2188114  1.50462491 3.21175361 1.82978006
 3.78814924 1.85989117]",0.6877
602,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,90.78729462623596,5000,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.57756684 1.49448567 2.98990952 1.79888238 2.75182087 1.51710231
 3.33433038 1.7318697  3.4507459  1.63717687 3.66719939 1.882547
 3.11169635 1.23091757 2.77300259 1.35367334 3.34403728 1.26858412
 4.18153942 2.72946106]",0.9783999999999999
603,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,50.68875241279602,5000,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.29633868 1.34314922 1.97560767 2.01218892 2.71804693 1.26466244
 2.77677389 2.94312249]",0.7878000000000001
604,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,52.47015643119812,3836,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.65478209 1.71119412 3.37354721 1.43625276 3.48643271 1.52554111
 2.66900757 1.88318464]",0.6162000000000001
605,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,59.9920859336853,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.59991868 3.4812289  3.08451624 1.34056581 2.95987715 1.82958775
 3.55502653 1.63369358 4.07240499 3.04372405 3.22249755 2.19156273]",0.3503
606,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,63.620553731918335,5000,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.36135523 1.36262529 2.85372578 1.09393787 2.56319229 2.10383724
 2.30261056 2.14436427 2.87471791 1.45099053 3.55922103 2.81441139]",0.7938
607,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,3.7140631675720215,758,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[4.33482598 1.66940416 2.65854491 2.73414606],0.1392
