id,params,state,node,started_at,finished_at,artefact_path,error_msg
69,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
70,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
71,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
72,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
73,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
74,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
75,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
76,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
77,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
78,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
