id,params,state,node,started_at,finished_at,artefact_path,error_msg,results,backend_mode,qaoa_variant,param_initialization,depth,warm_start,problem_type,hamming_dist,graph_path
57,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_1.pkl
58,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_1.pkl
59,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_1.pkl
60,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_1.pkl
61,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_1.pkl
62,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_1.pkl
63,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
64,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
65,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
66,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
67,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
68,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
69,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": true, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,True,minvertexcover,0,graphs_paper1/paper1_2.pkl
