param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
uniform,COBYLA,vanilla,False,True,1,7,F?bro,108.08650088310242,17,"[array(-0.38870553), array(-0.03407543), array(-0.29641434), array(0.54662815), array(-0.24802321), array(0.12779317), array(-0.45348208), array(-0.59533447), array(-0.53420437), array(-0.55003531), array(-0.60945657), array(-0.60130426), array(-0.53241601), array(-0.58885958), array(-0.55269965), array(-0.60349192), array(-0.58238878)]","[1, 1, 1, 1, 0, 0, 0]",2.7452423862481785,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",2.7452423862481785
uniform,COBYLA,vanilla,False,True,1,6,EQyw,102.01804161071777,17,"[array(1.09514257), array(-0.81376845), array(-0.03453085), array(0.78189225), array(0.8240689), array(-0.79570323), array(-0.73485943), array(-0.75506019), array(-0.78102423), array(-0.91509138), array(-0.87838114), array(-0.90827355), array(-0.90510553), array(-0.87853595), array(-0.86083983), array(-0.90370131), array(-0.91721122)]","[0, 0, 1, 1, 1, 0]",4.432487862987722,"[1.0, 1.0, 0, 0, 0, 1.0]",4.432487862987722
uniform,COBYLA,vanilla,False,True,1,6,E?Bw,129.40685081481934,22,"[array(0.6089388), array(-0.1685919), array(-0.13922291), array(-0.30787859), array(0.64372088), array(-0.38279591), array(0.64406815), array(-0.36543647), array(-0.40987114), array(-0.00213381), array(-0.23076964), array(-0.59773637), array(-0.6271752), array(-0.67924952), array(-0.55009497), array(-0.66295596), array(-0.66589163), array(-0.62237404), array(-0.65723112), array(-0.69232066), array(-0.67119256), array(-0.634944)]","[1, 1, 1, 1, 1, 0]",2.762376409118102,"[1.0, 1.0, 1.0, 1.0, 1.0, 0]",2.762376409118102
uniform,COBYLA,vanilla,False,True,1,6,EQzO,139.89148354530334,22,"[array(0.41530171), array(-0.13149591), array(-0.00089586), array(-0.105754), array(0.48235577), array(-0.37712492), array(-0.22143215), array(-0.45646537), array(-0.46446141), array(-0.54294605), array(-0.56790465), array(-0.61519194), array(-0.62928065), array(-0.56611968), array(-0.59864198), array(-0.62451644), array(-0.66376991), array(-0.64604863), array(-0.63586965), array(-0.64466923), array(-0.62542997), array(-0.63523065)]","[1, 0, 0, 1, 1, 0]",2.190231209934864,"[0, 1.0, 1.0, 0, 0, 1.0]",2.1902312099348644
uniform,COBYLA,vanilla,False,True,1,6,EEzO,126.88331317901611,21,"[array(-0.03741085), array(0.97060495), array(-0.10124396), array(0.00794904), array(-0.00676924), array(-0.15047466), array(-0.12254608), array(-0.28170202), array(-0.3026744), array(-0.17202399), array(-0.24948859), array(-0.29875834), array(-0.29935693), array(-0.25248892), array(-0.37931231), array(-0.29381847), array(-0.32150259), array(-0.26620306), array(-0.30145638), array(-0.31637524), array(-0.31775387)]","[0, 0, 1, 0, 1, 1]",3.2108683404847596,"[1.0, 1.0, 1.0, 1.0, 0, 0]",3.909640658441659
uniform,COBYLA,vanilla,False,True,1,6,ECYW,136.7753324508667,23,"[array(-0.12742353), array(0.22040189), array(0.0423212), array(0.3054334), array(0.35477714), array(-0.21779002), array(-0.03722697), array(-0.3447102), array(-0.22033401), array(-0.49081309), array(-0.47325367), array(-0.51176912), array(-0.55895921), array(-0.45502851), array(-0.56170985), array(-0.59825163), array(-0.60112426), array(-0.56596885), array(-0.54581583), array(-0.55434718), array(-0.53230537), array(-0.57176622), array(-0.59679218)]","[1, 0, 0, 0, 1, 0]",3.3609846424695475,"[0, 1.0, 1.0, 1.0, 0, 1.0]",3.360984642469548
uniform,COBYLA,vanilla,False,True,1,6,ECvo,126.97284126281738,21,"[array(-0.37745108), array(0.35236856), array(-0.06408275), array(0.9392169), array(-0.00249272), array(0.09561535), array(-0.42023811), array(-0.44237708), array(-0.3538151), array(-0.50232102), array(-0.49082317), array(-0.51052652), array(-0.34994454), array(-0.55597406), array(-0.54869007), array(-0.51274746), array(-0.52017393), array(-0.51008408), array(-0.54686627), array(-0.51028885), array(-0.53401128)]","[1, 1, 1, 0, 0, 0]",3.4059973213965993,"[1.0, 1.0, 1.0, 0, 0, 0]",3.4059973213965997
uniform,COBYLA,vanilla,False,True,1,6,EC~o,117.0569109916687,20,"[array(0.01640917), array(-0.07277292), array(-0.78369093), array(0.0311788), array(-0.53585522), array(-0.72866257), array(-0.04258449), array(-0.4265677), array(-0.66836105), array(-0.68226276), array(-0.82495584), array(-0.86610863), array(-0.83747078), array(-0.86972908), array(-0.88808799), array(-0.87633042), array(-0.84966076), array(-0.87525218), array(-0.7984998), array(-0.82906603)]","[1, 1, 1, 0, 0, 0]",4.534465996966041,"[1.0, 1.0, 1.0, 0, 0, 0]",4.534465996966041
uniform,COBYLA,vanilla,False,True,1,6,EQj_,94.44468975067139,16,"[array(-0.00387686), array(-0.08828639), array(-0.32449952), array(-0.14710998), array(0.47430389), array(-0.44794138), array(-0.32291018), array(-0.38300748), array(-0.43072065), array(-0.43026915), array(-0.43866537), array(-0.43069651), array(-0.48243968), array(-0.46953993), array(-0.46406212), array(-0.47245901)]","[1, 1, 0, 0, 1, 0]",2.799656399750974,"[1.0, 1.0, 1.0, 0, 0, 0]",3.8315272949297934
uniform,COBYLA,vanilla,False,True,1,6,EQzo,100.5708634853363,17,"[array(-0.00669073), array(0.13600996), array(0.02329716), array(0.2406437), array(0.15256099), array(0.0281426), array(-0.04736013), array(0.00223716), array(-0.01802093), array(-0.00041547), array(-0.05435714), array(-0.03709538), array(-0.00110044), array(-0.03420733), array(-0.05904239), array(-0.03178125), array(-0.03132544)]","[1, 1, 0, 0, 1, 0]",2.1717562207440166,"[1.0, 1.0, 0, 0, 0, 1.0]",3.3615318010765973
uniform,COBYLA,vanilla,False,True,1,6,E?ro,99.51831531524658,17,"[array(0.27882571), array(-0.39597969), array(0.17217342), array(0.72960362), array(0.03681849), array(-0.3087447), array(-0.18366051), array(-0.40129067), array(-0.32701374), array(-0.43307469), array(-0.54360847), array(-0.52569211), array(-0.52398184), array(-0.48913625), array(-0.5279472), array(-0.5425671), array(-0.5437337)]","[1, 1, 1, 1, 0, 0]",3.3753362251022687,"[1.0, 1.0, 1.0, 1.0, 0, 0]",3.3753362251022687
uniform,COBYLA,vanilla,False,True,1,6,EEzg,116.87911176681519,20,"[array(-0.06040132), array(0.22366046), array(0.04868333), array(-0.01042401), array(0.38972892), array(-0.21266647), array(-0.04177557), array(-0.34853195), array(-0.194188), array(-0.34962741), array(-0.39600028), array(-0.40788881), array(-0.49472562), array(-0.50065815), array(-0.49194871), array(-0.44597772), array(-0.49651993), array(-0.50076414), array(-0.4695254), array(-0.49586312)]","[1, 1, 1, 0, 0, 0]",4.047312363092217,"[1.0, 1.0, 1.0, 0, 0, 0]",4.047312363092217
uniform,COBYLA,vanilla,False,True,1,6,EEvo,113.43804717063904,19,"[array(0.53679092), array(0.26925621), array(0.0296052), array(0.03263911), array(-0.04213137), array(0.05190574), array(0.00853965), array(-0.02567031), array(0.00405049), array(0.05272395), array(-0.03044498), array(-0.07462863), array(0.00469795), array(-0.05850613), array(-0.02027464), array(-0.04039309), array(-0.03692813), array(-0.05417454), array(0.00245759)]","[1, 1, 0, 1, 1, 1]",0.5294116001283713,"[1.0, 1.0, 1.0, 1.0, 0, 0]",4.052653453584332
uniform,COBYLA,vanilla,False,True,1,6,EQ~w,127.13413119316101,21,"[array(-0.15857271), array(0.32247302), array(0.06116644), array(0.97686906), array(0.26992065), array(-0.04547609), array(0.00391407), array(-0.1738077), array(0.02796633), array(-0.21360304), array(-0.27053315), array(-0.36472024), array(-0.40003935), array(-0.44721064), array(-0.39222063), array(-0.29902356), array(-0.43509379), array(-0.38804239), array(-0.40340696), array(-0.38342269), array(-0.37699195)]","[0, 1, 1, 0, 0, 1]",4.542674427275164,"[0, 1.0, 1.0, 0, 0, 1.0]",4.5426744272751645
uniform,COBYLA,vanilla,False,True,1,6,EErw,114.752445936203,19,"[array(0.68191022), array(-0.32118327), array(-0.37839709), array(-0.06932987), array(-0.31597203), array(0.27116674), array(-0.54559512), array(-0.74500448), array(-0.40925941), array(-0.67228278), array(-0.77423607), array(-0.74666003), array(-0.67046424), array(-0.77296966), array(-0.68263581), array(-0.75443475), array(-0.72138716), array(-0.74870805), array(-0.70640352)]","[1, 1, 1, 0, 0, 0]",4.357496331029228,"[1.0, 1.0, 1.0, 0, 0, 0]",4.357496331029228
uniform,COBYLA,vanilla,False,True,1,6,EElw,127.53310894966125,21,"[array(0.12506716), array(-0.14895041), array(0.17755641), array(0.63521518), array(0.14587486), array(-0.19002633), array(0.01218644), array(-0.24831855), array(-0.32764801), array(-0.02787196), array(-0.36514652), array(-0.46208678), array(-0.5116314), array(-0.41631091), array(-0.42936983), array(-0.42032311), array(-0.48474554), array(-0.4905603), array(-0.43491402), array(-0.46401076), array(-0.51118608)]","[1, 1, 1, 0, 1, 0]",4.320739614194345,"[1.0, 1.0, 0, 0, 0, 1.0]",4.362207498705146
